latitude,longitude
-34.0,-59.166672
-32.23333,-64.433327
40.166672,44.133331
51.216671,5.0833302
51.333328,4.25
50.51667,5.28333
-23.008329,-44.473888
43.75,23.633329
44.333328,-81.599998
43.883331,-78.699997
44.333328,-81.599998
46.400002,-72.316673
46.200001,-77.699997
43.816669,-79.066673
45.066669,-66.466667
22.6,114.53333
22.6,114.54194
30.450001,120.93333
34.683331,119.44667
49.083328,16.133329
49.166672,14.26667
60.366669,26.35
61.23333,21.433331
47.5075,2.8775001
45.26083,-0.68861002
45.795559,5.27
49.413609,6.2163901
47.23333,0.18333
50.09,4.7894402
46.4575,0.65916997
45.76667,5.46667
44.63139,4.7555599
47.733891,2.5161099
48.349998,-3.8666699
47.906391,7.56528
49.535831,-1.88139
44.150002,4.6999998
44.099998,0.86667001
51.016109,2.14417
48.51722,3.52
49.858059,0.63305998
49.975559,1.2119401
45.404999,4.7555599
47.72028,1.57917
44.32972,4.7322202
50.916672,6.4000001
49.716671,8.4166698
53.849998,9.3500004
53.916672,9.1166697
52.466671,7.3166699
49.98333,10.18333
54.133331,13.66667
52.033329,9.4166698
48.51667,10.4
50.055561,8.9833298
48.599998,12.3
49.099998,8.4333296
53.400002,10.43333
52.48333,7.3000002
50.416672,7.4833298
49.099998,8.4333296
49.033329,9.1666698
48.599998,12.31667
49.366669,9.0833302
49.25,8.4499998
53.150002,13.0
53.616669,9.53333
51.683331,7.9833298
53.433331,8.46667
50.044441,8.9833298
51.633331,9.3999996
46.572498,18.85417
14.86667,74.449997
21.26667,73.400002
12.58333,80.183327
28.183331,78.366669
24.883329,75.633331
19.83333,72.666672
28.85,50.883331
45.066669,9.8666697
45.183331,8.28333
41.26667,13.83333
41.400002,12.76667
35.75,136.01666
37.416672,141.03333
37.316669,141.03333
33.51667,129.83333
34.616669,138.14999
41.26667,141.31667
33.48333,132.31667
37.416672,138.58333
35.700001,135.96667
35.76667,136.0
35.533329,135.64999
38.400002,141.5
31.816669,130.18333
37.049999,136.73334
35.533329,133.0
35.51667,135.51666
36.462502,140.61
43.033329,140.51666
35.749722,136.02055
43.599998,51.283329
35.316669,129.3
37.099998,129.38333
35.716671,129.48334
35.416672,126.41667
55.599998,26.48333
19.725,-96.387497
51.433331,3.7
51.933331,5.6500001
32.666672,71.48333
24.85,66.800003
44.316669,28.01667
51.916672,47.366669
56.849998,61.316669
68.050003,166.45
57.916672,35.083328
67.466667,32.466671
51.683331,35.616669
59.833328,29.033331
51.283329,39.216671
47.599998,42.116669
54.166672,33.23333
48.5,17.683331
48.25,18.450001
45.916672,15.53333
-33.650002,18.41667
39.80806,-5.6969399
41.200001,0.56667
39.216671,-1.05
40.349998,-2.8166699
42.76667,-3.21667
40.683331,-2.5999999
40.966671,0.88332999
59.583328,17.33333
55.75,12.91667
60.400002,18.183331
57.416672,16.66667
57.25,12.11667
47.566669,8.2333298
47.366669,7.9833298
47.604721,8.1816702
46.966671,7.2666702
25.283331,121.56667
25.216669,121.65
24.41667,121.71667
21.966669,120.75
51.383331,30.1
50.599998,26.549999
51.333328,25.883329
47.816669,31.216669
47.48333,34.633331
51.683331,-2.5
51.73333,0.89999998
54.416672,-3.5
55.01667,-3.21806
58.568329,-3.7761099
50.916672,0.96666998
54.633331,-1.1833301
54.033329,-2.9000001
51.200001,-3.1333301
55.716671,-4.8833299
51.650002,-2.5666699
52.216671,1.61667
55.966671,-2.4000001
52.933331,-3.95
54.416672,-3.5
50.683331,-2.26667
53.416672,-4.4833298
35.226669,-93.230827
40.621941,-80.433891
45.359169,-85.194717
18.35,-67.25
41.24361,-88.228889
34.70417,-87.118607
33.958328,-78.010559
42.075001,-89.281937
38.758331,-91.78167
38.434719,-76.44194
35.051392,-81.069443
40.17194,-88.834167
32.297779,-97.785004
40.361938,-95.641113
28.95722,-82.698891
34.265282,-81.333328
41.597221,-83.086388
35.21167,-120.85444
41.976109,-86.566391
41.389721,-88.271111
42.100559,-91.777222
45.299999,-93.583328
41.963329,-83.258614
31.22278,-85.112503
43.523891,-76.398331
41.520828,-96.076668
40.244438,-104.87417
32.0075,-91.048058
34.405281,-80.158607
41.481941,-72.499168
31.93417,-82.344437
39.467781,-75.538063
40.74194,-124.20806
41.271389,-73.952499
44.34306,-87.53611
43.560001,-91.228333
41.243889,-88.67083
40.220001,-75.589996
43.950562,-69.696114
35.43222,-80.948334
41.308609,-72.16806
45.333328,-93.848328
43.522221,-76.410004
38.060829,-77.790558
34.791672,-82.898613
39.814171,-74.20639
42.32222,-86.315277
33.389721,-112.86194
43.566669,-96.699997
39.758888,-76.269173
41.801109,-81.143333
41.944439,-70.579437
44.28083,-87.53611
44.619438,-92.633057
41.726109,-90.309998
38.346111,-121.11889
43.291672,-77.308891
30.757219,-91.331673
39.46278,-75.535828
33.370281,-117.55694
42.89806,-70.851387
35.223331,-85.087784
35.633331,-78.956108
28.795,-96.048058
27.34861,-80.246391
37.165562,-76.698334
41.091671,-76.148613
40.153061,-76.724998
46.040829,-122.88444
25.434999,-80.33139
42.780281,-72.515831
34.29583,-81.320282
33.141941,-81.764717
29.995001,-90.471107
35.602779,-84.790283
38.238892,-95.688889
46.47139,-119.33306
42.728062,-72.924721
42.44556,-87.802223
